番號,上班地點,上班時間,下班時間,下班地點,工時,備註
U15534,SHS,04:55 ,11:25 ,HUH,06:00,LG2N(N) T19
U15535,SHT,04:05 ,10:35 ,HUH,06:00,SHTP1 Run6 / LOW OFF
U15536,LOW,15:12 ,21:42 ,HUH,06:00,LG2N Run22 (2) / LG2S STOP
U15537,HUH,16:56 ,01:26 ,HUH,08:00,LMCP2 STOP
U15538,HUH,16:22 ,22:52 ,HUH,06:00,EMU
U15539,SHS,04:55 ,11:25 ,HUH,06:00,LG1N Run18 / LG1N STOP
U15540,HTD,05:22 ,13:52 ,HUH,08:00,Run26
U15541,HUH,17:04 ,01:34 ,HUH,08:00,FOTP4  STOP
U15542,LOW,15:44 ,00:29 ,HUH,08:15,LG1N Run2 (2) / TAPP1 STOP
U15543,HUH,13:00 ,21:00 ,HUH,07:30,SB
U15544,SHS,04:55 ,12:40 ,HUH,07:15,SHSP2 Run14
U15545,SHT,04:05 ,10:35 ,HUH,06:00,TAPP1 Run13 / LG1S STOP
U15546,HTD,15:51 ,22:21 ,HUH,06:00,Run14 (2)
U15547,HTD,16:11 ,23:41 ,HUH,07:00,Run28 (2) / RACP1 STOP
U15548,LOW,15:55 ,23:40 ,HUH,07:15,LG1S Run23 (2) / LMC OFF
U15549,SHS,04:55 ,11:25 ,HUH,06:00,LMCP1 Run22
U15550,SHS,04:55 ,12:25 ,HUH,07:00,LG2S Run17
U15551,HUH,18:38 ,01:38 ,HUH,06:30,LOWP1  STOP
U15552,HTD,16:30 ,00:45 ,HTD,07:45,HB
U15553,HUH,13:39 ,21:54 ,HUH,07:45,EMU + PM BY
U15554,HUH,08:20 ,14:50 ,HUH,06:00,EMU
U15555,HUH,07:51 ,16:06 ,HUH,07:45,EMU / LWM BY
U15556,HTD,06:13 ,14:43 ,HTD,08:00,Run30 / HTD BY
