Name,Book On Lcation,Book On Time,Book Off Time,Book Off Location,Duration,Remarks
B13316,LOW,07:15 AM,03:15 PM,LOW,7:30,RS
B13317,HUH,06:15 AM,01:45 PM,HUH,7:00,P701/P702/P707/P710
B13318,LOW,02:30 PM,10:30 PM,LOW,7:30,RS/ MTT
B13319,HUH,10:10 PM,06:10 AM,HUH,8:00,ET10
B13320,HUH,10:10 PM,06:10 AM,HUH,8:00,ET9
B13321,HUH,10:10 PM,06:10 AM,HUH,8:00,ET7
B13322,HUH,10:10 PM,06:10 AM,HUH,8:00,ET4
B13323,HUH,10:10 PM,06:10 AM,HUH,8:00,ET2
B13501,SHS,06:00 AM,02:00 PM,HUH,7:30,LOWP3 PICK T27
B13502,SHS,04:55 AM,11:55 AM,HUH,6:30,LOWP1 T20
B13503,SHT,04:05 AM,10:50 AM,HUH,6:15,FOTP4 T11
B13504,HUH,03:38 PM,12:23 AM,HUH,8:15,LG2SSTOP
B13505,HUH,12:58 PM,09:43 PM,HTD,8:15,EMU
B13506,HUH,11:17 AM,06:17 PM,HUH,6:30,EMU
B13507,SHS,06:00 AM,02:30 PM,HUH,8:00,LG1N T18+LOW BY
B13508,SHT,04:05 AM,11:20 AM,HUH,6:45,SHTP4 T9
B13509,HUH,05:30 PM,01:45 AM,HTD,7:45,EMU
B13510,HUH,05:07 PM,01:37 AM,HUH,8:00,SHSP2 STOP
B13511,HUH,02:20 PM,10:35 PM,HUH,7:45,SG2S STOP
B13512,SHS,04:55 AM,12:55 PM,HUH,7:30,LG2N T19
B13513,SHS,04:55 AM,12:25 PM,HUH,7:00,LMC PICK T4
B13514,SHT,04:05 AM,11:35 AM,HUH,7:00,LOWPICKT13+AM BY
B13515,HUH,01:09 PM,09:54 PM,HUH,8:15,EMU
B13516,HUH,01:30 PM,08:00 PM,HUH,6:00,LOW OFF
B13517,HTD,06:44 AM,03:29 PM,HUH,8:15,T32
B13518,SHT,04:05 AM,12:05 PM,HUH,7:30,SB
B13519,SHS,04:55 AM,12:10 PM,HUH,6:45,LMCP2 T23
B13520,HUH,05:35 PM,01:20 AM,HUH,7:15,Standby+EMU LMCP1 STOP
B13521,HUH,02:40 PM,11:25 PM,HUH,8:15,LG2N STOP
B13522,HUH,01:24 PM,09:54 PM,HUH,8:00,LMC OFF
B13523,HUH,07:31 AM,04:16 PM,HUH,8:15,EMU
B13524,SHS,04:55 AM,11:25 AM,HUH,6:00,LOWP3 T21
B13525,SHT,04:05 AM,11:05 AM,HTD,6:30,FOTP1 T10
B13526,HUH,05:23 PM,01:38 AM,HUH,7:45,LOWP3 STOP
B13527,HUH,04:00 PM,12:30 AM,HUH,8:00,SB
B13528,HTD,06:02 AM,02:32 PM,HUH,8:00,T30
B13529,SHT,04:05 AM,11:35 AM,HTD,7:00,RACP1 T12
B13530,HUH,06:57 PM,01:42 AM,HTD,6:15,EMU
B13531,HUH,05:12 PM,01:27 AM,HUH,7:45,LG1SSTOP
B13532,HUH,04:08 PM,12:53 AM,HUH,8:15,SHS OFF
B13533,SHS,06:00 AM,01:15 PM,HUH,6:45,SG2S T15
B13534,HTD,05:20 AM,12:35 PM,HUH,6:45,T26
B13535,SHT,04:05 AM,10:35 AM,HTD,6:00,SHTP1 T6
B13536,HUH,05:37 PM,01:37 AM,HUH,7:30,RACP1 STOP
